0,0,0,1

-28.468,27.4715,-18.4322,1
-57.3719,44.0606,-31.1096,1
-74.6467,66.8064,-44.536,1
-85.2031,88.1042,-58.0431,1

-25.29,82.3287,-2.863,1
-30.2727,121.641,-5.68421,1
-32.204,142.35,-13.9566,1
-33.2957,160.228,-22.062,1

-0.466003,81.5657,-2.2004,1
0.668922,126.177,-5.50806,1
-1.25866,149.726,-17.1388,1
-3.23328,168.003,-27.9916,1

18.433,78.3977,-5.57517,1
25.8345,119.269,-9.55367,1
25.7588,139.835,-24.8802,1
25.1832,156.163,-38.4672,1

35.353,70.1487,-9.93717,1
45.9844,99.3395,-19.7024,1
49.0326,114.076,-29.7944,1
50.7022,129.847,-41.46,1
